name,total_points,saves,conceded,creativity,influence,threat,bonus,BPS,ICT_index,clean_sheets,position
Lewis Dunk,130,0,40,136.7,720.4,443,17,626,130.2,11,DEF
Alexandre Lacazette,129,0,21,307.4,602.4,797,21,452,170.4,7,FWD
Vladimir Coufal,128,0,43,670.9,693.8,220,12,625,158.7,9,DEF
Tyrone Mings,128,0,42,97.3,798.4,293,8,633,119.3,14,DEF
John Stones,128,0,12,79.8,520.0,192,11,531,79.0,14,DEF
Timo Werner,128,0,29,532.4,514.8,1276,7,394,232.5,13,FWD
Kasper Schmeichel,128,88,50,0.0,769.0,0,6,631,76.9,11,GK
Michael Keane,127,0,43,87.8,814.0,243,13,649,114.5,11,DEF
Harvey Barnes,126,0,25,359.0,556.4,810,13,348,172.7,7,MID
Eberechi Eze,125,0,51,653.1,516.2,383,17,470,155.4,6,MID
Pablo Fornals,125,0,33,441.3,491.8,631,10,430,156.5,9,MID
Harry Maguire,124,0,36,133.6,701.4,428,8,632,126.3,13,DEF
Luke Shaw,124,0,33,1085.9,596.0,243,22,640,192.8,10,DEF
Alphonse Areola,124,116,48,0.0,876.2,0,9,637,87.4,9,GK
Vicente Guaita,124,106,64,0.0,819.4,0,15,639,82.2,8,GK
Pedro Lomba Neto,124,0,38,1007.3,594.2,722,10,492,232.5,9,MID
Richarlison de Andrade,123,0,38,359.7,576.4,1147,18,415,208.3,11,FWD
Aaron Ramsdale,123,146,63,20.0,1023.0,4,12,685,104.7,5,GK
Gylfi Sigurdsson,122,0,29,644.2,530.6,510,13,443,168.8,10,MID
Lucas Digne,120,0,42,704.2,592.6,136,18,590,143.5,9,DEF
Ezri Konsa Ngoyo,119,0,46,34.2,695.6,276,8,580,101.0,12,DEF
Michail Antonio,118,0,25,349.1,517.8,1038,19,345,190.1,6,FWD
Pascal Gross,116,0,28,1087.8,620.4,415,11,525,212.3,10,MID
Gabriel Fernando de Jesus,115,0,17,467.5,501.0,931,16,453,190.0,11,FWD
Stuart Armstrong,115,0,56,496.7,541.2,457,4,455,149.4,8,MID
Jordan Pickford,114,90,39,10.1,698.4,0,8,570,70.9,10,GK
Jorge Luiz Frello Filho,114,0,17,383.5,588.8,175,15,485,114.9,14,MID
John McGinn,114,0,46,600.5,579.0,361,2,492,154.1,14,MID
Nicolas Pepe,114,0,21,235.9,476.2,774,11,351,148.5,4,MID
Bukayo Saka,114,0,31,650.6,493.0,984,8,414,212.7,8,MID
Cesar Azpilicueta,113,0,20,413.3,502.2,164,12,518,107.9,13,DEF
Gareth Bale,113,0,12,306.5,550.8,507,16,366,136.4,5,MID
Dwight McNeil,113,0,50,790.3,591.8,277,8,493,166.3,11,MID
Reece James,112,0,29,697.3,527.4,399,15,572,162.8,9,DEF
Ashley Westwood,112,0,55,843.2,559.2,156,5,585,156.1,11,MID
Anwar El Ghazi,111,0,22,426.1,500.4,726,13,339,165.1,5,MID
